Peak,Weight
GJB5,0.016245673984099384
FAM83A,0.015337530969222786
GPR87,0.013085595766545262
GJB3,0.011792982525435274
IRF6,0.009771765111452821
LAD1,0.00947608286157049
KRT6A,0.009428823820862322
ELK1,0.008999426491860805
RNASE7,0.008604101769159921
CDH3,0.008504674131959641
EGFR,0.007989775641152332
S100A2,0.007985062589518161
TTC22,0.006792946498634305
GBP6,0.006399145092732071
TNKS1BP1,0.0058360194585381385
VOPP1,0.005646133833065444
TMEM102,0.005631450221553826
MRPS17,0.005487493499579159
MPZL2,0.005402542114965758
ANXA6,0.005400241927846489
COPS8,0.005244386443238281
SERPINB5,0.005201024754475019
SEC61G,0.004972278155922707
SLC39A2,0.004970719253631279
SOX15,0.0048712815851677605
MKNK1,0.004847535062150298
MUC22,0.0046809573819536435
SH2D3A,0.004674590467001603
MYO1B,0.0046227535741207105
CBLC,0.0046015875099796
ASNSD1,0.004572365803752116
BTC,0.004551448182748807
COL17A1,0.004542936299876722
CDK5,0.004512139320408132
TMPRSS11E,0.004408791537548267
C1orf116,0.004290910279801317
SCEL,0.004284964294173493
UNC13D,0.004268161880771244
EHF,0.004239245906744479
ITGB6,0.00416664082790594
CRYBG2,0.0041580614434856
DDR2,0.0039972546688918035
CAPN1,0.003931236798468319
KRT16,0.003893597856812397
DUOX2,0.0038627630257254096
PTHLH,0.0038511321706141705
MOB3C,0.0038068921253152205
PROM2,0.003674186410077343
TACSTD2,0.003674096990760412
AGPAT1,0.0036435986916416234
PGLYRP4,0.003620375913302984
ARL3,0.00361817066526708
TERF2IP,0.0036018096866605675
ATP8B2,0.0035802510159881518
SFN,0.003564226410428837
TMEM265,0.0035355753355170174
ANXA8L1,0.0034928304464999925
IVL,0.0034506156868359373
TMC4,0.0034457751427379073
KCTD7,0.003414505675059649
CNKSR1,0.003401061083071392
TMEM159,0.003384698391179773
SERPINB13,0.0033689172457028777
KLC3,0.003361480221139425
DSC2,0.0033300062098470026
ELMO3,0.0033073620409121963
TP63,0.0032927592318718808
ALS2CL,0.003263424813393136
KLK7,0.003197466293977538
FGFBP1,0.0031453540243307327
COPA,0.0031369801657591388
KLF5,0.003064087232541025
PDXP,0.0030539669676339404
GRHL2,0.0030432403167163957
CTSH,0.0029902030698766113
GJB4,0.0029764260803110004
CLDN1,0.002976403524813323
STXBP2,0.002861600486417159
C10orf95,0.0028592773646107833
TNFAIP2,0.00283295974888154
FBXL7,0.002829821266413634
EVPL,0.002826661892090972
F3,0.0028012267530592144
JUP,0.002789642364847009
WNT7B,0.0027864297758049485
MARVELD3,0.0027736787016788968
C16orf74,0.0027540000452372948
LPAR5,0.0027527341202784055
CLPP,0.002735567094020755
CEACAM6,0.002719040492968983
CAPN7,0.002709859409036775
KRT5,0.0027031073774810162
ARTN,0.002672532425763373
HCAR3,0.0026720800074837626
JAZF1,0.002666448673210083
PRADC1,0.0026471745441120505
S100A14,0.0026381276005247385
C1orf74,0.0026331679164914366
GRK4,0.002626977112056546
PTAFR,0.002622018977731036
BACE1,0.0026191051962740847
YY2,0.002614098651439005
FERMT1,0.0026132629779061674
FRRS1,0.0025851946435595024
ELP6,0.0025562777721354004
DHX30,0.002510279252836367
DGKA,0.002492055891365823
RXRA,0.002484517350353711
NSF,0.0024799466285393506
PKP3,0.002479514763017042
CNPY4,0.002467550467912023
UGT1A4,0.0024632389914492803
SLC31A2,0.002449901017713509
GSDMC,0.0024340367668701265
GJB2,0.00243223760001653
GNAI2,0.0024279668264275567
IP6K1,0.002413943297770704
GPANK1,0.0024034611514583753
GALNT12,0.0023949611176719288
FAM83H,0.0023748299274711526
PERP,0.0023664007212010505
C12orf54,0.002365230299945462
CHMP4C,0.0023520673438133604
GMPPB,0.0023369333670612107
XDH,0.0023014455218932873
TNFRSF21,0.0022866578342087347
RNF141,0.0022843637469329545
TCTA,0.00227975147347488
EPHA1,0.002275096512449545
STAP2,0.0022657222137030778
C19orf44,0.002253413702109591
FAM229B,0.002227922782311503
C5orf24,0.002212853933889014
AC005943.1,0.0022032639449963897
JMJD6,0.0021977625690340276
WDR66,0.002197739470005165
CDH1,0.0021968014841802154
DHPS,0.002195425924495223
EIF2B3,0.0021949083118646107
AC008758.6,0.002182330272349938
TSPAN1,0.0021727363758029384
DXO,0.002149427814367413
TXLNA,0.002144862367870309
INAVA,0.002143720852936217
PPP1R14C,0.0021436507395700926
SACS,0.0021310512823346055
USP43,0.002129614861972613
ZNF576,0.0021277098998743137
