Peak,Weight
FAM83A,0.07838379
PROM2,0.05712228
GJB3,0.04356767
MYDGF,0.039511636
COPS8,0.03336154
EGFR,0.025819274
MKNK1,0.02348553
TBC1D25,0.02296098
PIN1,0.019321693
MUC22,0.019016419
DGKA,0.01866502
TXNDC15,0.017003112
GRK4,0.016438922
CDK5,0.016173063
CERK,0.01439736
C10orf95,0.013665707
CSTA,0.013615562
UNC13D,0.013017442
S100A2,0.012841614
GPANK1,0.010980022
RIPK4,0.010251065
GJB5,0.010136697
RAP2B,0.010094723
KRT19,0.010069206
TNFAIP2,0.0100487685
WNT7B,0.010041755
BTC,0.009990448
ZHX3,0.009943711
DDR2,0.009765172
TECPR1,0.009695753
KCTD20,0.009161678
GNAI2,0.009016452
TMEM102,0.008696026
DAB2IP,0.008071347
MRPS17,0.007742747
RNASE7,0.007545104
PRADC1,0.007396413
COL17A1,0.0072942954
B3GAT3,0.007126596
SYNC,0.0068200007
SZRD1,0.006818865
ZNF576,0.0067306217
KCTD7,0.0065757274
TMPRSS11E,0.006574967
IP6K1,0.0065733744
SLCO1B3-SLCO1B7,0.0065269712
PTHLH,0.006502182
BEND6,0.0063618724
ARAP2,0.006266501
PLXNB2,0.0062118084
SEC22C,0.006179218
SEC61G,0.0060561756
TNKS1BP1,0.0058814827
PMM1,0.0057728076
JAZF1,0.0057569863
ELK1,0.0057086516
PHF1,0.00565403
LAD1,0.00551536
RHBDL2,0.005436801
CHMP4C,0.005426557
CBLC,0.005317847
S100A9,0.0050737546
C17orf80,0.005049251
ANXA6,0.0049049794
GMPPB,0.0048634857
DXO,0.004795857
ARL3,0.0047914055
KLF3,0.004748033
ARTN,0.004692304
FKBP7,0.0045710416
CEACAM6,0.0045696525
CTSH,0.0045666695
MUC16,0.0044100243
MAGED1,0.0038206931
RNF141,0.0037823445
ZC3HC1,0.0037726734
COPA,0.0036944319
ZEB1,0.0036272642
FAM114A2,0.0036090107
DIRAS1,0.003482829
AMPD2,0.0034379775
DHPS,0.0034220933
DPH3,0.0032569468
FUT3,0.0032511994
ZC3H12A,0.003242872
DSC3,0.00316025
ZNF428,0.0031532142
AGPAT1,0.0030938596
PTBP3,0.0030679996
STARD9,0.0028270422
AC005943.1,0.002787273
ITGA6,0.0027680164
SLC2A9,0.0026702273
ASNSD1,0.0026550638
PTAFR,0.0026529229
AC008687.8,0.0026355565
CDH3,0.0025480785
THAP8,0.0024562697
TP63,0.0024018304
BLCAP,0.0023662285
ELMO3,0.0022601287
TTC21B,0.0022526172
SEMA4B,0.0022480136
AC008758.6,0.0021876663
JAG2,0.0021820094
KRT5,0.0021690438
NRSN2,0.0021166306
ARIH2,0.002111154
DIXDC1,0.001954713
GJB4,0.0019533136
GNB1,0.00182378
OGG1,0.0015750946
UBE2J2,0.0015027641
AC005324.3,0.0013431081
BTN2A1,0.0012886907
C1orf74,0.0012169308
CHCHD3,0.0011615021
TCF19,0.0011414988
HCAR3,0.0011095166
BAP1,0.0010613685
B3GNT3,0.00096656405
RANBP3,0.00089266256
ADRB2,0.00087288534
DYNC1LI1,0.0007473684
ZNF668,0.0007030712
ARHGAP31,0.0006987896
IPO13,0.00068272237
ACSF2,0.0005460332
C1orf216,0.0005152893
CERS3,0.0004964941
AC003688.2,0.00048478227
CAPN7,0.00044490106
RXRA,0.00023666694
ADGRF1,0.00021753646
ANXA8L1,3.3719138e-05
APC,1.4945505e-05
P2RY2,0.0
PERP,0.0
P3H1,0.0
PGBD1,0.0
RARG,0.0
RBM10,0.0
RASA3,0.0
RASSF7,0.0
RAB25,0.0
PACSIN3,0.0
PAK6,0.0
PARK7,0.0
PDXP,0.0
PDLIM1,0.0
RHOD,0.0
PCDH1,0.0
PATJ,0.0
PGLYRP4,0.0
NIPAL1,0.0
PHC2,0.0
RAB23,0.0
NECTIN4,0.0
NECTIN1,0.0
PPL,0.0
NDUFB2,0.0
NRARP,0.0
PPP1R13L,0.0
PPP1R14C,0.0
PRAF2,0.0
PLEKHG3,0.0
NSF,0.0
PRKACA,0.0
NTF4,0.0
PRR5-ARHGAP8,0.0
PRRG2,0.0
NDUFA11,0.0
PKP3,0.0
PRRG4,0.0
PRSS8,0.0
PSMC3IP,0.0
OAZ2,0.0
PIP5K1C,0.0
PIP4P2,0.0
OR2A7,0.0
PHTF1,0.0
OVOL1,0.0
PTPRU,0.0
NDFIP2,0.0
RAB11FIP3,0.0
SOX15,0.0
RNASEH2A,0.0
TNK1,0.0
TTL,0.0
TTC3,0.0
TTC22,0.0
TSPAN6,0.0
TSPAN1,0.0
TRIM29,0.0
TRIM23,0.0
TNPO2,0.0
TNFRSF21,0.0
TERF2IP,0.0
TMEM40,0.0
TMEM30B,0.0
TMEM265,0.0
TMEM263,0.0
TMEM184A,0.0
TMEM159,0.0
TMC4,0.0
TMBIM1,0.0
TUBB,0.0
TXLNA,0.0
UAP1L1,0.0
UGT1A3,0.0
ZNF775,0.0
ZNF709,0.0
ZNF441,0.0
ZNF165,0.0
ZCCHC24,0.0
YY2,0.0
YBX3,0.0
XDH,0.0
WDR66,0.0
WDR62,0.0
VOPP1,0.0
VKORC1,0.0
VIM,0.0
USP43,0.0
USP13,0.0
USP11,0.0
UGT1A4,0.0
TINAGL1,0.0
TCTA,0.0
RNF14,0.0
SCEL,0.0
SGTB,0.0
SGTA,0.0
SGCB,0.0
SFN,0.0
SERPINB5,0.0
SERPINB13,0.0
SERINC2,0.0
