Peak,Weight
UNC13D,0.00010024610610041543
PROM2,4.5449512366204536e-05
VOPP1,4.26214025737441e-05
CDH3,3.7801647546228226e-05
S100A9,3.593245350271663e-05
FGFBP1,2.966467301077006e-05
EGFR,2.7096377032083224e-05
DSG2,2.300650974088038e-05
MUC16,1.8845651018077598e-05
SEC61G,1.4880058040088645e-05
CEACAM6,1.4496834332580912e-05
SFN,1.2215756968179462e-05
AGRN,1.0411873432133779e-05
TRIM29,9.148383464311344e-06
S100A2,7.393500103385905e-06
PDLIM1,5.636734482248996e-06
KRT6A,4.929354837366584e-06
MT-ND6,4.514142903622685e-06
CLDN1,4.051172301602128e-06
PERP,2.9165117510101677e-06
KRT19,2.771524026111109e-06
KRT5,1.9519272039710644e-06
CD46,1.7347614743482183e-06
F3,1.4499084694100455e-06
COL17A1,4.146915340720027e-07
PGBD1,-0.0
PPL,-0.0
PMM1,-0.0
PDXP,-0.0
PLXNB2,0.0
PLEKHG3,-0.0
PATJ,0.0
PHTF1,-0.0
PIN1,-0.0
PGLYRP4,0.0
PIP5K1C,-0.0
PIP4P2,-0.0
PCDH1,-0.0
PHC2,-0.0
PHF1,-0.0
PPP1R13L,-0.0
PKP3,0.0
PRR5-ARHGAP8,0.0
PPP1R14C,0.0
PRADC1,-0.0
RHOD,0.0
RHBDL2,-0.0
RBM10,-0.0
RASSF7,-0.0
RASA3,-0.0
RARG,0.0
RAP2B,0.0
RANBP3,-0.0
RAB25,-0.0
RAB23,-0.0
RAB11FIP3,-0.0
PTPRU,0.0
PTHLH,0.0
PTBP3,0.0
PTAFR,0.0
PSMC3IP,-0.0
PRSS8,-0.0
PRRG4,0.0
PRRG2,-0.0
PRKACA,-0.0
PRAF2,-0.0
PARK7,-0.0
AC003688.2,-0.0
PAK6,0.0
MARVELD2,0.0
MPZL2,0.0
MOCS1,-0.0
MOB3C,0.0
MOB3B,0.0
MLLT1,-0.0
MKNK1,0.0
MINK1,0.0
MCOLN1,-0.0
MBLAC1,-0.0
MBD3,-0.0
MARVELD3,0.0
MAP7,0.0
MRPS17,0.0
MAP3K9,-0.0
MAP3K3,-0.0
MAL2,0.0
MAGED1,0.0
LYRM2,-0.0
LYPD3,0.0
LTBR,0.0
LSR,-0.0
LRWD1,-0.0
LPAR5,0.0
LIX1L,-0.0
MROH6,0.0
MST1R,-0.0
PACSIN3,0.0
NECTIN4,-0.0
P3H1,-0.0
P2RY2,0.0
RIPK4,0.0
OR2A7,-0.0
OGG1,-0.0
OAZ2,-0.0
NTF4,0.0
NSF,-0.0
NRSN2,-0.0
NRARP,0.0
NIPAL1,-0.0
NECTIN1,0.0
MTFR1L,-0.0
NDUFB2,-0.0
NDUFA11,-0.0
NDFIP2,0.0
NCDN,-0.0
NBPF9,-0.0
NAPRT,0.0
MYO1B,0.0
MUC22,0.0
MTRNR2L11,0.0
MTRNR2L1,0.0
MTPN,-0.0
OVOL1,0.0
RNF223,-0.0
RNASE7,0.0
TNFRSF21,0.0
TXLNA,-0.0
TTL,0.0
TTC22,0.0
TTC21B,-0.0
TSPAN6,0.0
TSPAN1,0.0
TRIM23,-0.0
TP63,0.0
TNPO2,-0.0
TNKS1BP1,0.0
TNK1,0.0
TNFAIP2,0.0
RNASEH2A,-0.0
TMPRSS11E,0.0
TMEM40,-0.0
TMEM30B,0.0
TMEM265,0.0
TMEM263,-0.0
TMEM184A,0.0
TMEM159,0.0
TMEM102,0.0
TMC4,-0.0
TMBIM1,-0.0
TINAGL1,-0.0
TXNDC15,-0.0
UAP1L1,-0.0
UBE2J2,-0.0
UGT1A3,0.0
ZNF775,-0.0
ZNF709,-0.0
ZNF668,-0.0
ZNF576,-0.0
ZNF441,-0.0
ZNF428,0.0
ZNF165,0.0
ZHX3,-0.0
ZEB1,-0.0
ZCCHC24,-0.0
ZC3HC1,-0.0
ZC3H12A,-0.0
YY2,-0.0
YBX3,0.0
XDH,0.0
WNT7B,0.0
WDR66,0.0
WDR62,-0.0
VKORC1,-0.0
USP43,0.0
USP13,0.0
USP11,-0.0
UGT1A4,0.0
THAP8,-0.0
TERF2IP,-0.0
TECPR1,-0.0
SLC31A2,0.0
SH3BP1,0.0
SH2D3A,-0.0
SGTB,-0.0
SGTA,-0.0
SGCB,-0.0
SERPINB5,0.0
SERPINB13,-0.0
SERINC2,0.0
SEMA4B,-0.0
SEC22C,-0.0
SCEL,0.0
SCAMP3,-0.0
SAP30,-0.0
SACS,-0.0
S100A14,0.0
S100A11,-0.0
RXRA,0.0
RPS6KA4,0.0
RNF25,-0.0
LAMC2,0.0
RNF149,0.0
RNF141,0.0
RNF14,-0.0
SLC2A9,-0.0
SLC35A4,-0.0
TCTA,-0.0
SLC35B4,-0.0
TCF19,-0.0
TCF12,-0.0
TBC1D25,-0.0
TACSTD2,0.0
SZRD1,-0.0
SYTL1,0.0
SYNC,-0.0
SYDE1,-0.0
STXBP2,0.0
STX2,-0.0
STK3,0.0
STARD9,0.0
STAP2,-0.0
ST14,-0.0
SSH3,0.0
SRM,-0.0
SPINT1,-0.0
SOX15,0.0
SOWAHB,0.0
SMIM11A,-0.0
SLCO1B3-SLCO1B7,0.0
SLCO1B3,0.0
SLC39A2,-0.0
LGALS9C,-0.0
KRT80,0.0
DPYSL2,-0.0
CHMP4C,0.0
CRYBG2,0.0
CRYBG1,-0.0
CRB3,-0.0
CORO2A,0.0
COPS8,-0.0
CNTNAP1,-0.0
CNPY4,-0.0
CNKSR1,-0.0
CLPP,-0.0
CLDN7,0.0
CLDN4,0.0
CHCHD3,0.0
DSP,-0.0
CERS3,0.0
CERK,-0.0
CEP170,0.0
CENPO,-0.0
CDS1,0.0
CDKN2C,-0.0
CDK5,-0.0
CDH1,-0.0
CDC42BPG,0.0
CD9,0.0
CCDC88A,-0.0
CSTA,0.0
CTAGE8,-0.0
CTIF,-0.0
CTNND1,-0.0
DSC2,0.0
DPY19L2,-0.0
DPH3,-0.0
DNAJC8,-0.0
DNAJB5,-0.0
DLK2,0.0
DIXDC1,-0.0
DIRAS1,-0.0
DHX32,0.0
DHX30,0.0
DHRS3,-0.0
DHPS,-0.0
DGKA,0.0
DENND5A,-0.0
DDR2,-0.0
DDR1,-0.0
DCLRE1B,-0.0
DAB2IP,0.0
CYSRT1,0.0
CXCL16,0.0
CUTA,-0.0
CTSV,0.0
CTSH,0.0
CBLC,-0.0
CAST,0.0
CAPN7,-0.0
B3GALT4,0.0
ASNSD1,-0.0
ARTN,0.0
ARL3,-0.0
ARIH2,-0.0
ARHGEF5,-0.0
ARHGAP31,-0.0
ARAP2,0.0
APC,-0.0
AP1M2,-0.0
AP1M1,-0.0
ANXA8L1,0.0
ANXA6,-0.0
AMPD2,-0.0
ALS2CL,0.0
AGPAT1,-0.0
ADRB2,-0.0
ADGRF4,0.0
ADGRF1,-0.0
ACSF2,0.0
AC011473.4,0.0
AC008758.6,-0.0
AC008687.8,0.0
AC005943.1,-0.0
ATP8B2,-0.0
B3GAT3,-0.0
CAPN1,0.0
B3GNT3,-0.0
CAB39,0.0
C6orf89,-0.0
C5orf24,-0.0
C4orf36,-0.0
C1QTNF6,0.0
C1orf74,0.0
C1orf216,-0.0
C1orf116,-0.0
C19orf53,-0.0
C19orf44,-0.0
C19orf33,-0.0
C17orf80,-0.0
C16orf74,0.0
C12orf54,0.0
C10orf95,0.0
BTN2A1,-0.0
BTC,0.0
BLCAP,-0.0
BICDL2,-0.0
BEND6,-0.0
BAP1,0.0
BAIAP2,-0.0
BACE1,-0.0
DSC3,0.0
ZSCAN26,-0.0
DTX4,0.0
ITGA6,0.0
IQANK1,0.0
IPO13,-0.0
IP6K1,-0.0
INAVA,0.0
IL18,0.0
IFNGR1,0.0
HES2,-0.0
HDGFL2,-0.0
HCFC2,-0.0
HCAR3,0.0
HCAR2,0.0
HARS1,-0.0
GSDMC,0.0
GRK4,-0.0
GRHL2,0.0
GRHL1,0.0
GPR87,0.0
GPANK1,-0.0
GNAI2,-0.0
GMPPB,-0.0
GLT8D1,-0.0
DUOX2,-0.0
GJB4,-0.0
