Peak,Weight
EQTN,0.15303249895513077
MTRNR2L11,0.10788682831492644
MUC22,0.03288774336945284
C10orf95,0.024726514286935924
C12orf54,0.010097672614553611
SLCO1B3-SLCO1B7,0.00952279866706874
B3GALT4,0.007882876967812872
PGLYRP4,0.005803675420483625
DUOXA1,0.005031470322937891
CTAGE8,0.004880719999088994
RNASE7,0.004217841473081916
PRRG2,0.0034259869952644358
THAP8,0.0032178436559404024
MARVELD3,0.0029906801793053374
OR2A7,0.002573766456252045
C19orf44,0.0024422793662525555
SLC31A2,0.0020258284265870317
C1orf74,0.0019312928373159293
FAM229B,0.001930384253217785
GSDMC,0.001686353054880271
KRBOX4,0.0015043362002645066
BTN2A1,0.001267190333532862
CYSRT1,0.0012604277135153702
TMEM265,0.0012415916658497122
SLC39A2,0.0012118299999590695
FAM110A,0.001152050927174569
GPANK1,0.0011506794651529625
PGBD1,0.001149721517946956
LPAR5,0.0011491053961328358
MOB3C,0.0011099697347683544
GLT8D1,0.0010645772291450724
CNPY4,0.0010269729082298137
P2RY2,0.0009832753083663234
CDK5,0.0009829239536922189
MTFR1L,0.0009813990090915647
ZNF428,0.0009541329523678377
SEC22C,0.0009283257934844885
RNASEH2A,0.0009052838103762821
GBP6,0.0008993068271904407
RNF141,0.000892194298616194
DHX32,0.0008867550209842685
ZNF775,0.0008747422784713412
KLC3,0.0008420307041959988
GRHL2,0.0008407408541301227
STX2,0.0008149487625587835
PIP4P2,0.000807992520841701
RARG,0.0008050848152217368
ARTN,0.0007521209657885982
KRTCAP3,0.00072982881025618
APC,0.0007261918796862334
NRARP,0.0007236008478091512
TTC22,0.0007075925957400899
LGALS9C,0.00070128388688901
BICDL2,0.0006964458024547134
RANBP3,0.0006960607006283332
HCAR2,0.0006395757612276997
ELMO3,0.0006304778177412077
SCEL,0.000625824387512698
SYTL1,0.0006039657076774593
C16orf74,0.0005757985781934509
ASNSD1,0.0005736519195528391
MLLT1,0.0005631376655514589
JMJD7,0.0005511947121382087
SGCB,0.0005259692335704031
CRYBG2,0.0005219085740335611
GJB5,0.0005113348879850666
