Peak,Weight
ITGB6,0.010981897718698166
VOPP1,0.010483000237877594
EGFR,0.010455251384945583
SEC61G,0.009350260777438732
C1orf74,0.008632666027995497
MUC22,0.008577208429535865
TTC22,0.0073312316063434265
MRPS17,0.007297467247325445
SH2D3A,0.007211302068521962
DSC2,0.006976624666097062
TMEM265,0.006802976714138782
C1orf116,0.0067500158073986885
UGT1A3,0.00671159636296877
GJB5,0.0066255969777159925
IRF6,0.006054071983749596
GJB3,0.006032352307385218
FAM83A,0.006015746163117866
MKNK1,0.005716503044353117
KRT16,0.005659128891621495
LPAR5,0.005402967305214311
IP6K1,0.005372450788031776
MPZL2,0.005134561583696056
TMPRSS11E,0.0050994951925374
LAD1,0.0049502886190963555
TMEM102,0.004851683993352063
PRKACA,0.004783665079440031
INAVA,0.00469991209555947
SCEL,0.004593856685193431
UNC13D,0.004464642148504358
MBD3,0.004455547849073981
KLC3,0.004383748200197606
GMPPB,0.004381226425241662
DDR2,0.004373073251630935
ELK1,0.004318590739879163
S100A14,0.004270258945788693
CRYBG2,0.004176438271499812
WNT7B,0.0041105313450110325
KRT6A,0.003873295640080638
GBP6,0.0037715340524342423
CLDN1,0.0037652206763440395
RNASE7,0.003754162745449458
C10orf95,0.003748622039517391
ADGRF4,0.003736103871016797
CDH3,0.0037306531032779144
KRT80,0.003695138221127571
DSG2,0.003659649703406728
KLF5,0.0036350728170046137
ASNSD1,0.0036076957132997584
TTC21B,0.003525303646390819
COL17A1,0.0035134308967571955
GPR87,0.003489005366603632
SLC2A9,0.003484046871334606
ADGRF1,0.0034791501310899083
PPP1R14C,0.0034269742505733444
CEACAM6,0.0033609054569586493
KCTD7,0.0033227474970814173
TMC4,0.0032951533648291685
HCAR3,0.0032730999196856365
ALS2CL,0.0032723475287753673
BTC,0.0032395287613486918
MOB3C,0.0031896094938750085
CNTNAP1,0.0031774559244306354
PTAFR,0.003156160433760345
PHTF1,0.003148967088000419
CXCL16,0.0031468257641148133
COPS8,0.0031384557520611135
ELF3,0.0030879996870078557
FAM83B,0.0030822943811063008
AC005943.1,0.0030645681295013182
EVPL,0.003058978848914607
DHX30,0.0030546098665371942
TACSTD2,0.00304960902900254
SAP30,0.003042394346798301
KRBOX4,0.003015771098236647
FRK,0.0030031144416852963
PARK7,0.002998490778175695
CTSV,0.0029955242152761847
PIP5K1C,0.0029675539178292305
ATP8B2,0.0029630332876705873
LAMC2,0.002950351192515771
MTFR1L,0.00294482386326615
TNFRSF21,0.0029436888249917774
TSPAN6,0.00293518910233548
LSR,0.0028642043740303726
UGT1A4,0.002836941911355971
GRHL2,0.002831380464943179
STXBP2,0.0028254737011504747
TXLNA,0.0028198146060707443
DUOX2,0.002819037340558314
CBLC,0.0028055775757824426
CCDC88A,0.002800227676199502
GJB4,0.002799531609742189
JUP,0.002794510171608497
MTPN,0.0027646524724662764
PERP,0.002756321996816431
GALNT12,0.0027131251934910915
RARG,0.002695065426703988
CRB3,0.0026876437202532134
DPY19L2,0.002638939770911676
ANXA8L1,0.0026349424418784097
S100A9,0.0025988926321146716
ZNF668,0.0025959121769279555
YBX3,0.0025858707104727268
SERPINB13,0.0025702868322873464
PCDH1,0.0025694344724376096
SOX15,0.002559149559111794
SLC39A2,0.002543607575362478
GJB2,0.0025287103981222244
GPANK1,0.0025222673353308017
DSC3,0.0024961693124181676
SLCO1B3-SLCO1B7,0.002487926127911713
SMIM11A,0.0024820694788884904
RASA3,0.00247902915174249
BEND6,0.002462912434692099
ANXA6,0.002462674489166798
C6orf89,0.0024624427832477236
FGFBP1,0.002459561010286478
C19orf44,0.0024577616840168793
MYO1B,0.0024537152293540067
PRSS8,0.0024446317843445997
HCFC2,0.002434177788226971
OAZ2,0.0024328423094503674
CAPN7,0.0024260693816931475
DHPS,0.00241180641372781
CDK5,0.002410215843248969
CHMP4C,0.0024092249947133128
KLK7,0.002409091488952272
PMM1,0.0023944856344195933
EHF,0.0023781237346656974
FRRS1,0.0023762881439078135
CLPP,0.0023716200439002333
PHC2,0.0023675161255664414
CTSH,0.0023674423547350373
OVOL1,0.002367037283333871
AC008758.6,0.002364432069463784
TNKS1BP1,0.0023586381098168944
PRRG4,0.002339156966795845
TNPO2,0.0023385121621956623
CAPN1,0.002331725242421364
PRADC1,0.002326773615703485
HDGFL2,0.0023262194399279045
P2RY2,0.0023253554897380564
STX2,0.002318076945984619
CDS1,0.002310584651672537
RNF141,0.0023080809687784243
GNB1,0.0022918224250226505
TXNDC15,0.0022870925933270616
ZCCHC24,0.002285539587407612
ARAP2,0.0022786301916675354
SLC35A4,0.00226692215197094
ARHGAP31,0.002265115994940894
EIF2B3,0.0022554296912825097
XDH,0.0022405173875680367
PLXNB2,0.002234855677576605
S100A2,0.002233144426151481
AGPAT1,0.002229096426758113
NBPF9,0.00222046330885082
CRYBG1,0.002218131174948721
MAP3K3,0.002215689005820406
MOB3B,0.0022056324601963007
AP1M2,0.002187880496596241
LTBR,0.0021621616609041293
JMJD7,0.0021469852149428163
CDKN2C,0.0021304072371896086
COPA,0.0021279953812922627
GRK4,0.0021149650470358313
TMEM184A,0.0021114954418337936
MUC16,0.0021088287598652897
NRSN2,0.0021034137684475766
EPCAM,0.002091197558891976
TRIM23,0.0020852522856649285
FKBP7,0.002084621691473104
KLF3,0.002078973102923866
PRRG2,0.0020716889929324224
CYSRT1,0.002068532726627489
ESRP2,0.0020556706226151147
TRIM29,0.0020539264287387925
ELP6,0.002053357784529563
ITGB4,0.002052972764468765
PRAF2,0.002051057634412431
PKP3,0.0020489662608263303
MAP3K9,0.0020488304510591477
DIXDC1,0.0020393313587235133
FAAP20,0.0020383946784012915
IQANK1,0.0020316387077263624
CSTA,0.0020312221121786948
KRT19,0.0020297637646282747
NECTIN4,0.002023951625682406
TP63,0.0020191977254395204
PIP4P2,0.0020176515141820243
PAK6,0.001992638807367499
MYDGF,0.0019900406892613067
BICDL2,0.001976130749832782
CTAGE8,0.001974316382169659
F11R,0.0019739525115161087
SYDE1,0.0019729167971421994
KCNK1,0.0019652524847760954
JAM3,0.0019566204723603913
RHOD,0.0019538396749764135
GET1,0.0019457738629254668
PDXP,0.001937920500096251
CNKSR1,0.0019357243558972526
RNF14,0.0019243921643777825
TERF2IP,0.0019108654181710489
FAM229B,0.0019107430837570544
UBE2J2,0.0018982007006821656
SSH3,0.0018963048514997914
TMEM159,0.001893608122273143
NTF4,0.0018935144188385795
SERPINB5,0.0018907820416787149
USP11,0.0018846364120284778
SPINT1,0.0018793161054878908
IVL,0.0018771728138201823
JAG2,0.0018768125559578896
NCDN,0.0018501559681532006
TECPR1,0.0018475259284527373
TNK1,0.0018416371996763739
ZC3H12A,0.001840422200835618
ZNF709,0.0018362007758535807
LRWD1,0.001835702089824265
FBXL7,0.0018280675599454171
ARTN,0.0018276519022935487
CEP170,0.0018249181078693723
PGLYRP4,0.0018233298124383302
PHF1,0.0018183489476990616
ZNF165,0.001816562151331855
RAB23,0.0018045471347530398
ZNF576,0.0018020413497247263
KRTCAP3,0.0017943000367183276
DPYSL2,0.0017926426163427875
BLCAP,0.0017918042079964106
SLCO1B3,0.0017902498892346111
PTHLH,0.0017851280313881032
STK3,0.0017838604853175285
SFN,0.0017827775032020347
STAP2,0.001779457336040271
PGBD1,0.0017744027755136845
SYTL1,0.001770358505103772
AP1M1,0.0017693609551145428
SOWAHB,0.0017662581850389882
KRT17,0.0017539269739776035
HES2,0.001750408801570872
LYRM2,0.0017424887959734652
NSF,0.0017374540301055763
