Peak,Weight
C10orf95,0.008194675230038044
SLCO1B3-SLCO1B7,0.0074622246598507165
MUC22,0.0074027987595748045
B3GALT4,0.006684615851296771
DUOXA1,0.005046654798051868
PGLYRP4,0.004887824771135054
OR2A7,0.0039879994516442835
CTAGE8,0.0032007032179718355
RNASE7,0.0030146052618377902
C12orf54,0.0029720472136201504
MARVELD3,0.0026223252445182624
C1orf74,0.0024207815592253556
MTRNR2L11,0.0019092895096040356
ZNF775,0.0018960740674980857
PRRG2,0.0018742107931335383
C19orf44,0.0018368345721250943
THAP8,0.0017992205302269667
HCAR3,0.001401548922543617
FAM229B,0.0013806003954719983
SLC31A2,0.0013178522996757582
FAM110A,0.0012982849981896007
KLC3,0.0012385133957896212
GPANK1,0.0011796076552187547
ZNF428,0.0011510271229127392
ARTN,0.0010176334022547798
MOB3C,0.0009574367306845172
KRBOX4,0.0009500661681218004
GLT8D1,0.0009370387385157497
NRARP,0.0009319048687503268
FRRS1,0.0009229818986995475
DXO,0.0009007828414552584
BTN2A1,0.0008956220510991672
LPAR5,0.000872302857798049
ELMO3,0.0008501098294837387
GSDMC,0.000799587130225147
BICDL2,0.0007944238250166947
C16orf74,0.0007595477364195441
RNF141,0.0007403087018810108
RARG,0.000737171600367444
SEC22C,0.000734942250317503
P2RY2,0.00072973292964612
ASNSD1,0.0007233416440225443
TMEM265,0.0007150746360406944
HCAR2,0.0007026176238090038
RNASEH2A,0.0006660657955893567
ZNF441,0.0006660255413820908
RANBP3,0.0006530824155757418
GBP6,0.0006471105926560883
PDXP,0.0006392959039984405
SYTL1,0.0006364179970875549
GRHL2,0.0006307273632331778
STX2,0.0006115189703988309
CYSRT1,0.0006039101210339035
PIP4P2,0.0005948097356739171
CNPY4,0.000574474786349525
MLLT1,0.0005726122155303737
MTRNR2L1,0.0005648189127362004
DNAJB5,0.0005572354170689562
TMEM159,0.0005523102215297716
DHX32,0.0005507616152929929
TTC22,0.0005368980061623866
SCEL,0.0004970613249296124
HCFC2,0.0004938193071523285
STARD9,0.00048701718886268457
TMEM40,0.0004833315131158355
CTSV,0.00046367714920742323
MINK1,0.0004584990509320419
CDC42BPG,0.0004420862421660712
PRAF2,0.00043975737919712426
PHTF1,0.0004339971712119194
MTFR1L,0.0004252201022093973
TXNDC15,0.0004226008126277321
PGBD1,0.00041507881132783286
TNK1,0.000414064731561774
MAP3K9,0.0004118742440089526
TSPAN6,0.00041159004617342645
FKBP7,0.00040515287688793275
RPS6KA4,0.0003893903581573647
GET1,0.0003845333689829407
CLPP,0.00038436343792447634
BTC,0.0003821805315031224
APC,0.00037407182297459425
C1orf116,0.000366841239654667
CRYBG2,0.0003643947042149702
SGCB,0.0003598828768278878
PPP1R14C,0.0003511676452873786
CDK5,0.0003300762477087657
BAIAP2,0.00032127079947298626
XDH,0.0003127827298412231
TTL,0.00031259222977273436
KLK7,0.000284958078436491
SLCO1B3,0.0002812924340873008
CAPN7,0.0002812610140105215
TXLNA,0.0002627398557237188
MAP7,0.00026259226314678596
DPH3,0.0002546473040287073
STK3,0.0002519279888641174
IL18,0.0002514868200127484
ZNF576,0.0002493085596075767
MBD3,0.0002403478438046113
RAB11FIP3,0.00023836348753036429
KLF3,0.0002343077477337827
IRF6,0.00023116575127517797
EVPL,0.0002310523392268077
CHCHD3,0.0002243500926718257
RIPK4,0.00022327114123249994
PRRG4,0.00022236523799322932
RNF14,0.000219864377125452
FAM110C,0.00021754980387154294
LAD1,0.0002136109430857032
FGFBP1,0.00021108528934252551
STXBP2,0.00019648569911334847
RNF25,0.00019227303124259471
FZR1,0.00018836057597479102
CNKSR1,0.00018511339312258146
SSH3,0.00018403863993571342
CAB39,0.00017663556690658078
MCOLN1,0.00017662539469608893
NBPF9,0.00017571975895627732
GJB2,0.00017235887422882627
TRIM29,0.0001710594586902319
PARK7,0.00016934839000428103
