sample,AAC,tissue
CL1,0.0507053324174494,Prostate
CL2,0.163112968581298,Esophagus/Stomach
CL4,0.270218325245285,Bladder/Urinary Tract
CL5,0.0716189693489764,CNS/Brain
CL6,0.360982703905138,Bladder/Urinary Tract
CL7,0.0536136252249628,Bladder/Urinary Tract
CL8,0.125725337516919,Bladder/Urinary Tract
CL9,0.240158339322319,Lymphoid
CL10,0.227740606841009,Kidney
CL11,0.0542347072231286,Kidney
CL12,0.058001140099996,CNS/Brain
CL13,0.182194392164108,Thyroid
CL14,0.0769508636192121,Thyroid
CL15,0.0365375633090605,CNS/Brain
CL16,0.163955026922479,Soft Tissue
CL17,0.0803948838090745,Skin
CL18,0.0337038532620843,Kidney
CL19,0.0970411960268811,Lung
CL20,0.0677364258131939,Bone
CL21,0.0535008416667964,Skin
CL22,0.00676394885322736,Skin
CL23,0.125031660269456,Ovary/Fallopian Tube
CL24,0.109049524110071,Lymphoid
CL25,0.155824799148377,Lymphoid
CL26,0.0647412291616101,Pleura
CL27,0.202417740973115,Kidney
CL28,0.0628742973918978,Esophagus/Stomach
CL29,0.161346354248553,Lymphoid
CL30,0.085635800521943,Myeloid
CL31,0.0180376302183967,Lymphoid
CL32,0.137240003341992,Uterus
CL33,0.0787329864121484,Pancreas
CL34,0.257793690330614,Breast
CL35,0.17137270347293,Thyroid
CL36,0.116835408847651,Bladder/Urinary Tract
CL38,0.0480659242236769,Bladder/Urinary Tract
CL39,0.0420228360639711,Bladder/Urinary Tract
CL40,0.0724849669693489,Thyroid
CL41,0.403159513141185,Head and Neck
CL43,0.0569914560770819,Head and Neck
CL45,0.210902250610125,Head and Neck
CL48,0,Lymphoid
CL49,0.0411569731177722,CNS/Brain
CL50,0.063107281630586,Breast
CL51,0.145336560735187,Breast
CL52,0,Breast
CL53,0.219584199815572,Myeloid
CL54,0.169909813371793,Pancreas
CL55,0.147229064864565,Bowel
CL56,0.063710599110915,Lymphoid
CL57,0.135765109779118,Kidney
CL58,0.136037933404112,Kidney
CL59,0.348409323074569,Lung
CL61,0.258219358869612,Head and Neck
CL62,0.115943612032089,Breast
CL63,0.340141020038609,Kidney
CL64,0.065345944405261,Thyroid
CL65,0.0961752347611669,Bone
CL67,0.125620976332879,Lung
CL70,0.0876620357620777,Breast
CL71,0.117354094272604,Ovary/Fallopian Tube
CL72,0.0715414674761175,Pancreas
CL73,0.130715847521464,Pancreas
CL75,3.7463684044466e-16,CNS/Brain
CL78,0.0428059348329688,Peripheral Nervous System
CL79,0.0641413361865242,Peripheral Nervous System
CL80,0.0268089038313491,Skin
CL81,0.0758700837331198,Bowel
CL82,0.0949120656210517,Myeloid
CL83,0.134539272722963,Myeloid
CL84,0.00380589119485177,Lung
CL85,0.183683994410648,Bowel
